user,movie,rating,timestamp,month,day
0,1176,5,978300760,5,249
0,655,3,978302109,5,249
0,902,3,978301968,5,249
0,3339,4,978300275,5,249
0,2286,5,978824291,5,256
0,1179,3,978302268,5,249
0,1267,5,978302039,5,249
0,2735,5,978300719,5,249
0,590,4,978302268,5,249
0,907,4,978301368,5,249
0,591,5,978824268,5,256
0,926,4,978301752,5,249
0,2329,4,978302281,5,249
0,2849,4,978302124,5,249
0,1022,5,978301753,5,249
0,2722,4,978302188,5,249
0,2618,3,978824268,5,256
0,1949,4,978301777,5,249
0,3036,5,978301713,5,249
0,2728,4,978302039,5,249
0,2252,3,978302205,5,249
0,711,3,978300760,5,249
0,1250,5,978300055,5,249
0,523,5,978824195,5,256
0,2271,3,978300103,5,249
0,47,5,978824351,5,256
0,1081,4,978301953,5,249
0,1672,4,978300055,5,249
0,1506,4,978824139,5,256
0,735,3,978824268,5,256
0,2225,4,978824291,5,256
0,3117,4,978300019,5,249
0,1526,4,978824330,5,256
0,584,4,978824268,5,256
0,1838,4,978824330,5,256
0,773,4,978824291,5,256
0,1768,5,978300172,5,249
0,1009,5,978300055,5,249
0,2693,4,978302091,5,249
0,148,5,978301777,5,249
0,0,5,978824268,5,256
0,1892,5,978301590,5,249
0,1893,4,978301753,5,249
0,2623,4,978301570,5,249
0,257,4,978300760,5,249
0,1015,5,978301777,5,249
0,1016,5,978302205,5,249
0,1189,4,978300719,5,249
0,1959,5,978301619,5,249
0,527,4,978302149,5,249
0,3045,4,978302174,5,249
0,604,4,978301398,5,249
0,1226,4,978302091,5,249
1,1336,5,978298709,5,249
1,2999,4,978299000,5,249
1,1499,4,978299620,5,249
1,641,3,978299351,5,249
1,2125,4,978299297,5,249
1,642,4,978299913,5,249
1,2199,5,978299297,5,249
1,2559,3,978300051,5,249
1,1087,3,978298905,5,249
1,2847,3,978299809,5,249
1,3399,5,978298542,5,249
1,1192,4,978298151,5,249
1,1732,3,978299941,5,249
1,1641,3,978300174,5,249
1,1195,2,978298458,5,249
1,3509,5,978298958,5,249
1,2812,3,978300002,5,249
1,2961,4,978298434,5,249
1,1199,3,978298151,5,249
1,3036,4,978298673,5,249
1,430,2,978300174,5,249
1,2057,3,978300123,5,249
1,3038,2,978300002,5,249
1,3039,3,978299712,5,249
1,2966,4,978298625,5,249
1,1233,3,978299120,5,249
1,1568,5,978299809,5,249
1,289,3,978300123,5,249
1,2167,5,978299220,5,249
1,3002,4,978299120,5,249
1,890,2,978298905,5,249
1,364,4,978300002,5,249
1,1239,5,978298841,5,249
1,3078,5,978298652,5,249
1,1505,4,978300174,5,249
1,1273,5,978298261,5,249
1,1171,4,978299620,5,249
1,3186,4,978299321,5,249
1,3187,2,978299839,5,249
1,3188,3,978300073,5,249
1,108,5,978298625,5,249
1,2209,3,978299889,5,249
1,2421,3,978299966,5,249
1,1766,4,978298813,5,249
1,3402,5,978298814,5,249
1,585,4,978299773,5,249
1,1644,3,978300051,5,249
1,3585,3,978298814,5,249
1,2783,3,978298958,5,249
1,1876,5,978298458,5,249
1,970,4,978299269,5,249
1,1804,4,978298542,5,249
1,2789,4,978298434,5,249
1,1207,5,978298391,5,249
1,1959,4,978299773,5,249
1,511,5,978298542,5,249
1,438,3,978300025,5,249
1,2243,3,978299046,5,249
1,262,4,978299026,5,249
1,1385,3,978299839,5,249
1,1068,3,978298813,5,249
1,3630,2,978299173,5,249
1,476,5,978299809,5,249
1,1417,4,978299297,5,249
1,1998,5,978298625,5,249
1,1245,3,978299712,5,249
1,1349,5,978299889,5,249
1,1176,5,978298413,5,249
1,1740,3,978300002,5,249
1,1351,3,978299941,5,249
1,2284,4,978299861,5,249
1,3265,4,978298958,5,249
1,2358,2,978299913,5,249
1,586,5,978299083,5,249
1,1178,5,978298730,5,249
1,1513,3,978299941,5,249
1,727,4,978300100,5,249
1,1180,4,978298124,5,249
1,589,5,978298517,5,249
1,2290,3,978299666,5,249
1,93,2,978300143,5,249
1,2648,3,978298196,5,249
1,2502,4,978299773,5,249
1,1848,3,978300174,5,249
1,2327,4,978299641,5,249
1,3666,3,978298814,5,249
1,1884,4,978298775,5,249
1,1556,3,978300025,5,249
1,3740,3,978299712,5,249
1,1885,5,978298841,5,249
1,1886,4,978299200,5,249
1,232,3,978299351,5,249
1,1108,5,978299418,5,249
1,1888,5,978298750,5,249
1,161,4,978299809,5,249
1,20,1,978299839,5,249
1,163,3,978300002,5,249
1,2252,3,978299666,5,249
1,1074,2,978298580,5,249
1,376,5,978299809,5,249
1,2432,5,978298600,5,249
1,345,4,978299839,5,249
1,453,4,978299773,5,249
1,1080,4,978299386,5,249
1,908,5,978298775,5,249
1,455,3,978300002,5,249
1,1491,4,978299839,5,249
1,3349,4,978299809,5,249
1,1364,3,978299966,5,249
1,3382,4,978298924,5,249
1,3026,4,978298517,5,249
1,770,3,978299966,5,249
1,494,3,978299418,5,249
1,2659,3,978298881,5,249
1,1933,5,978300100,5,249
1,1893,5,978298813,5,249
1,1726,5,978298841,5,249
1,2874,4,978298372,5,249
1,1937,3,978299861,5,249
1,315,5,978298413,5,249
1,1189,4,978298478,5,249
1,1899,2,978298881,5,249
1,3609,3,978299250,5,249
1,1224,3,978299143,5,249
1,352,5,978299686,5,249
1,1225,2,978299200,5,249
1,1226,5,978299418,5,249
1,3823,1,978299535,5,249
1,1227,5,978298652,5,249
2,3352,4,978298147,5,249
2,1595,2,978298430,5,249
2,642,3,978297867,5,249
2,1373,4,978298147,5,249
2,3465,3,978297068,5,249
2,102,4,978298486,5,249
2,2666,4,978297867,5,249
2,1192,4,978297600,5,249
2,1407,3,978297095,5,249
2,3798,3,978298486,5,249
2,1063,5,978298296,5,249
2,2928,3,978298147,5,249
2,1573,5,978297710,5,249
2,1271,4,978297600,5,249
2,1239,5,978298296,5,249
2,647,4,978297757,5,249
2,2098,5,978297600,5,249
2,1539,3,978297663,5,249
2,3550,2,978298201,5,249
2,257,5,978297512,5,249
2,2789,4,978297039,5,249
2,3045,3,978298103,5,249
2,1035,4,978297805,5,249
2,1241,1,978297663,5,249
2,548,4,978297837,5,249
2,476,4,978297690,5,249
2,1245,2,978298316,5,249
2,1246,5,978297396,5,249
2,724,5,978297757,5,249
2,1178,4,978297539,5,249
2,586,4,978297439,5,249
2,2286,5,978298430,5,249
2,1179,5,978297570,5,249
2,1180,5,978297570,5,249
2,1357,5,978297419,5,249
2,589,3,978297018,5,249
2,1358,4,978297419,5,249
2,3483,5,978298459,5,249
2,1284,5,978298166,5,249
2,1250,3,978298231,5,249
2,2401,4,978297777,5,249
2,3099,4,978297570,5,249
2,2548,2,978297837,5,249
2,1892,4,978297095,5,249
2,3602,5,978297419,5,249
2,1937,4,978297757,5,249
2,2802,4,978297539,5,249
2,2046,4,978297777,5,249
2,1899,4,978297068,5,249
2,1120,5,978298079,5,249
2,2012,4,978298504,5,249
3,3399,5,978294008,5,249
3,1192,3,978293924,5,249
3,2882,4,978294282,5,249
3,1196,4,978294260,5,249
3,1023,4,978294282,5,249
3,257,5,978294199,5,249
3,1959,5,978294230,5,249
3,476,4,978294008,5,249
3,1178,2,978294199,5,249
3,1180,5,978294199,5,249
3,1885,5,978294282,5,249
3,1081,4,978293964,5,249
3,3349,4,978294260,5,249
3,3633,4,978294260,5,249
3,2297,4,978294230,5,249
3,1366,5,978294199,5,249
3,3458,1,978294008,5,249
3,1183,5,978294230,5,249
3,2623,5,978294230,5,249
3,2878,5,978294230,5,249
3,1220,5,978294260,5,249
4,2918,4,978243170,4,249
4,2264,4,978242607,4,249
4,1159,5,978244759,4,249
4,38,3,978245037,4,249
4,285,2,978246585,4,249
4,2268,5,978243121,4,249
4,1498,4,978245513,4,249
4,1371,4,978245645,4,249
4,2199,2,978246033,4,249
4,1439,3,978245695,4,249
4,849,2,978244493,4,249
4,1637,3,978246108,4,249
4,855,4,978245334,4,249
4,1638,3,978244540,4,249
4,2847,1,978245645,4,249
4,2701,4,978241981,4,249
4,213,3,978245422,4,249
4,1706,4,978245513,4,249
4,497,1,978244001,4,249
4,3509,2,978243803,4,249
4,502,4,978245999,4,249
4,1230,5,978241112,4,249
4,3724,2,978243170,4,249
4,505,4,978245829,4,249
4,40,4,978244692,4,249
4,1568,4,978245645,4,249
4,1989,1,978245740,4,249
4,3730,3,978243937,4,249
4,2928,5,978241556,4,249
4,46,3,978245334,4,249
4,2631,4,978243085,4,249
4,293,4,978244177,4,249
4,577,3,978244808,4,249
4,1575,3,978244025,4,249
4,719,4,978244759,4,249
4,296,3,978242934,4,249
4,3010,2,978246162,4,249
4,2491,4,978242977,4,249
4,1840,3,978246479,4,249
4,148,2,978245763,4,249
4,221,3,978245829,4,249
4,3659,2,978244568,4,249
4,226,3,978246528,4,249
4,5,2,978245916,4,249
4,2937,3,978245422,4,249
4,2789,4,978241390,4,249
4,1033,5,978244114,4,249
4,511,4,978245891,4,249
4,790,2,978244540,4,249
4,49,5,978244205,4,249
4,51,2,978246479,4,249
4,1174,2,978246426,4,249
4,1175,5,978244493,4,249
4,724,1,978245763,4,249
4,3012,3,978243054,4,249
4,373,4,978245999,4,249
4,2284,3,978245790,4,249
4,1248,2,978245948,4,249
